                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0089,                  2.108,                 1.0529,                 1.0951,                0.75024,                0.65675,                0.76098,                0.54792,                0.71298,                0.60368,                0.68039,                0.42465,                  1.061,                 2.0414,                0.95279,                 1.1021,               0.007822,               0.007822,               0.007822
                     24,                 1.0421,                  2.072,                 1.1117,                 1.1227,                 0.6887,                0.73829,                0.77559,                 0.5567,                0.70804,                0.64377,                0.68349,                0.42946,                 1.0569,                 2.0475,                 0.9715,                  1.105,               0.007723,               0.007723,               0.007723
                     25,                 1.0548,                 2.1948,                 1.0418,                 1.1146,                0.72103,                0.70706,                0.77928,                0.57362,                 0.7377,                0.59301,                0.68825,                0.43451,                 1.0648,                 2.0127,                0.94472,                 1.0976,               0.007624,               0.007624,               0.007624
                     26,                 1.0059,                   2.18,                 1.0581,                 1.0977,                0.77183,                0.68651,                 0.7792,                 0.5771,                0.72062,                0.63959,                0.69893,                0.45277,                 1.0147,                 1.8996,                0.91597,                 1.0772,               0.007525,               0.007525,               0.007525
                     27,                 1.0162,                 2.1478,                 1.0254,                 1.0864,                0.75173,                0.73429,                0.79045,                0.58365,                0.81103,                0.63245,                0.71921,                0.45731,                 1.0042,                 1.8409,                0.89007,                 1.0716,               0.007426,               0.007426,               0.007426
                     28,                 1.0348,                 2.1654,                 1.0082,                 1.0878,                0.75658,                0.74592,                0.82498,                0.60575,                0.74909,                0.65882,                0.73459,                0.46571,                 1.0143,                 1.8166,                0.88882,                  1.069,               0.007327,               0.007327,               0.007327
                     29,                0.99451,                 2.1025,                 0.9439,                 1.0859,                 0.7507,                0.77939,                0.82238,                0.61152,                0.69168,                0.71929,                0.74144,                0.48077,                 0.9723,                 1.7704,                0.84718,                 1.0535,               0.007228,               0.007228,               0.007228
                     30,                 1.0157,                 2.1546,                 1.0299,                 1.0969,                0.83377,                0.72467,                0.81531,                0.60943,                0.77121,                0.66509,                0.73761,                0.45383,                 1.0039,                 1.9493,                0.87866,                 1.0723,               0.007129,               0.007129,               0.007129
                     31,                0.97941,                 2.0687,                0.99634,                 1.0651,                0.70655,                0.70497,                0.75988,                0.55644,                0.63787,                0.64944,                0.67313,                0.39024,                 1.0774,                 2.1408,                 1.0009,                 1.1091,                0.00703,                0.00703,                0.00703
                     32,                 1.0237,                 2.1127,                0.97731,                 1.0816,                  0.696,                0.72685,                0.77582,                0.56697,                0.75875,                0.61655,                0.70143,                0.42934,                 1.0479,                 2.0195,                0.94431,                 1.0899,               0.006931,               0.006931,               0.006931
                     33,                0.95898,                 1.9027,                0.94312,                 1.0722,                   0.82,                0.73213,                0.81638,                0.62232,                0.80887,                0.65826,                0.74486,                0.47549,                0.95582,                 1.7743,                0.82573,                  1.037,               0.006832,               0.006832,               0.006832
                     34,                0.94649,                 2.0196,                0.87964,                 1.0657,                0.80525,                0.75653,                0.83201,                0.63407,                0.77918,                0.69826,                0.75088,                0.48108,                0.94971,                 1.7675,                0.83305,                 1.0311,               0.006733,               0.006733,               0.006733
                     35,                0.93041,                 1.9261,                0.91329,                 1.0582,                0.85029,                0.74493,                0.83917,                0.63673,                0.80872,                0.69594,                0.77047,                0.49361,                0.94407,                 1.7294,                0.81402,                 1.0267,               0.006634,               0.006634,               0.006634
                     36,                 0.9905,                 2.0236,                0.91991,                  1.068,                0.81843,                0.76401,                0.83218,                0.63169,                0.80141,                0.70138,                0.76168,                0.48758,                0.97566,                 1.7362,                0.82047,                 1.0399,               0.006535,               0.006535,               0.006535
                     37,                0.94936,                 1.9727,                0.93509,                  1.071,                0.83877,                0.74733,                0.83313,                0.65092,                0.80355,                 0.6978,                0.77521,                0.50882,                0.92807,                 1.6895,                0.76525,                 1.0192,               0.006436,               0.006436,               0.006436
                     38,                 1.0468,                 2.3224,                0.98849,                 1.0805,                0.78172,                0.77967,                0.83633,                0.63497,                0.74172,                0.72438,                0.75732,                0.47714,                0.96939,                 1.8114,                0.80538,                 1.0365,               0.006337,               0.006337,               0.006337
                     39,                0.95074,                 1.9993,                0.89465,                 1.0563,                0.80361,                0.79747,                0.85944,                0.66011,                0.75447,                0.74374,                0.77971,                0.50329,                0.90966,                 1.7094,                0.75223,                 1.0124,               0.006238,               0.006238,               0.006238
                     40,                0.96023,                 2.0202,                 0.9344,                 1.0553,                0.72625,                0.83226,                0.85535,                0.65982,                0.80826,                0.68667,                0.77409,                0.51526,                0.91584,                 1.7094,                0.76282,                 1.0171,               0.006139,               0.006139,               0.006139
                     41,                 0.9165,                 1.9116,                0.89751,                 1.0342,                0.78309,                0.83275,                0.86349,                0.66398,                0.78249,                 0.7448,                 0.7891,                0.51828,                0.91884,                 1.6668,                0.75065,                   1.02,                0.00604,                0.00604,                0.00604
                     42,                0.92442,                 1.9481,                0.86748,                 1.0475,                 0.8054,                0.81649,                0.86593,                0.66957,                0.81209,                0.73764,                0.79948,                0.52203,                0.89547,                  1.673,                0.73866,                 1.0149,               0.005941,               0.005941,               0.005941
                     43,                0.89088,                 1.9033,                0.85087,                 1.0324,                0.84341,                0.79176,                0.86166,                0.66615,                0.81121,                0.71725,                0.79009,                0.51663,                0.88213,                 1.6676,                0.73273,                 1.0099,               0.005842,               0.005842,               0.005842
                     44,                0.89016,                 1.8843,                0.80515,                  1.035,                0.87358,                 0.7818,                0.86466,                0.66659,                0.80963,                0.72377,                0.78633,                0.51374,                0.88414,                  1.622,                0.73532,                 1.0113,               0.005743,               0.005743,               0.005743
                     45,                0.92737,                  1.981,                0.86899,                 1.0198,                0.84611,                0.80068,                0.87186,                0.66811,                0.79846,                0.74355,                 0.7947,                0.52416,                0.89146,                 1.6079,                0.71541,                 1.0082,               0.005644,               0.005644,               0.005644
                     46,                0.92722,                 1.9125,                0.84098,                 1.0369,                0.84203,                0.78968,                0.85746,                0.66793,                0.78554,                0.72904,                0.77697,                0.51934,                0.88189,                  1.608,                0.72142,                 1.0048,               0.005545,               0.005545,               0.005545
                     47,                0.91008,                 1.9743,                0.82605,                 1.0172,                0.86042,                0.77213,                0.86545,                0.69147,                0.81726,                0.73021,                 0.7946,                0.52823,                0.84081,                 1.5866,                0.69895,                0.99013,               0.005446,               0.005446,               0.005446
                     48,                0.87009,                 1.9408,                0.79234,                 1.0151,                0.85751,                0.77861,                0.86626,                0.67385,                0.81832,                0.74139,                0.79846,                0.53426,                0.88681,                 1.5974,                0.71252,                0.99884,               0.005347,               0.005347,               0.005347
                     49,                0.93329,                 2.0077,                0.84157,                 1.0347,                0.85542,                0.79057,                0.86498,                0.67887,                0.82413,                0.72953,                0.78888,                0.53376,                0.89156,                 1.6081,                0.70322,                 1.0004,               0.005248,               0.005248,               0.005248
                     50,                0.94935,                 1.8975,                0.83073,                 1.0403,                0.85303,                0.81299,                0.88071,                0.69279,                0.84602,                0.70476,                0.78599,                0.53445,                0.87716,                 1.5451,                0.66282,                0.98905,               0.005149,               0.005149,               0.005149
                     51,                0.91109,                 1.9037,                0.83325,                 1.0398,                 0.8304,                0.83174,                0.88359,                0.70187,                 0.8426,                0.74204,                 0.8076,                0.54626,                0.84622,                 1.5178,                0.64469,                0.97844,                0.00505,                0.00505,                0.00505
                     52,                  0.898,                 1.9296,                0.82376,                 1.0334,                0.87999,                0.81693,                 0.8867,                0.69217,                0.81938,                0.74194,                0.79487,                0.53896,                0.86442,                 1.5197,                0.65489,                0.98633,               0.004951,               0.004951,               0.004951
                     53,                0.88043,                  1.944,                0.82911,                 1.0155,                0.86416,                 0.8211,                0.88488,                0.69756,                0.83722,                0.75419,                0.80526,                0.53728,                0.85162,                 1.5075,                0.65366,                0.98191,               0.004852,               0.004852,               0.004852
                     54,                0.91438,                 1.8929,                0.80251,                  1.029,                 0.8728,                0.82299,                 0.8925,                0.70135,                0.80653,                0.76335,                0.80763,                0.54242,                 0.8298,                 1.4967,                0.64021,                0.97165,               0.004753,               0.004753,               0.004753
                     55,                0.90179,                 1.8629,                0.83159,                 1.0214,                0.86875,                0.81653,                0.88874,                0.69248,                0.78938,                0.75414,                0.79706,                 0.5392,                0.86407,                 1.5263,                0.67312,                0.98278,               0.004654,               0.004654,               0.004654
                     56,                0.86384,                  1.876,                0.79627,                 1.0185,                0.88948,                0.81717,                 0.8945,                0.70412,                0.82131,                0.74844,                0.80315,                0.53845,                0.83741,                  1.477,                0.64121,                0.97111,               0.004555,               0.004555,               0.004555
                     57,                0.87515,                 1.8345,                0.75555,                 1.0004,                0.88525,                0.81468,                0.89278,                0.70831,                0.82747,                0.74558,                0.79885,                0.53531,                0.82631,                 1.4435,                0.63777,                0.96708,               0.004456,               0.004456,               0.004456
                     58,                0.81457,                 1.7514,                0.72228,                0.98357,                0.89643,                0.81568,                0.89595,                 0.7135,                0.83607,                0.74725,                0.80795,                0.54299,                0.81574,                 1.4466,                0.63062,                 0.9627,               0.004357,               0.004357,               0.004357
